日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020/8/13,'002230,科大讯飞,36.6,37.1,36.3,36.59,36.37,0.23,0.6324,0.975,21013230,771523827.8,80442148762,78880699432
2020/8/12,'002230,科大讯飞,36.37,36.75,35.6,36.75,36.77,-0.4,-1.0878,1.5985,34451098,1243967638,79936637991,78385001048
2020/8/11,'002230,科大讯飞,36.77,38.29,36.71,38.06,38.06,-1.29,-3.3894,1.5993,34468253,1293741900,80815787158,79247085195
2020/8/10,'002230,科大讯飞,38.06,38.49,37.51,37.8,37.99,0.07,0.1843,1.3163,28368806,1080680945,83651043221,82027306568
2020/8/7,'002230,科大讯飞,37.99,38.63,37.13,38.34,38.7,-0.71,-1.8346,2.1454,46238082,1755002778,83497192117,81876441842
2020/8/6,'002230,科大讯飞,38.7,39.11,37.36,37.55,37.42,1.28,3.4206,3.2557,70167127,2705796978,85057681888,83406641203
2020/8/5,'002230,科大讯飞,37.42,37.99,37.16,37.93,37.47,-0.05,-0.1334,1.2395,26713710,999747710.7,82244404554,80647971933
2020/8/4,'002230,科大讯飞,37.47,37.88,37.14,37.76,37.75,-0.28,-0.7417,1.3445,28975992,1086106019,82354298200,80755732452
2020/8/3,'002230,科大讯飞,37.75,37.91,36.8,36.8,36.62,1.13,3.0857,1.989,42867051,1607278774,82969702617,81359191354
2020/7/31,'002230,科大讯飞,36.62,37,36.13,36.28,36.23,0.39,1.0765,1.4244,30698370,1123470800,80486106221,78923803640
2020/7/30,'002230,科大讯飞,36.23,36.8,36.16,36.4,37.16,-0.93,-2.5027,1.8576,40034487,1457402229,79628935783,78083271596
2020/7/29,'002230,科大讯飞,37.16,37.17,35.86,36.02,36,1.16,3.2222,1.6744,36086778,1323284316,81672957596,80087617238
2020/7/28,'002230,科大讯飞,36,36.45,35.69,36.31,35.95,0.05,0.1391,1.1107,23937037,860617309.6,79123425012,77587573212
2020/7/27,'002230,科大讯飞,35.95,36.35,35.41,36.01,35.95,0,0,1.3345,28760685,1031759423,79013531366,77479812694
2020/7/24,'002230,科大讯飞,35.95,38.33,35.68,37,37.23,-1.28,-3.4381,2.6766,57686440,2130151500,79013531366,77479812694
2020/7/23,'002230,科大讯飞,37.23,37.98,36.55,37.7,38.02,-0.79,-2.0779,1.9829,42735634,1587013083,81826808700,80238481963
2020/7/22,'002230,科大讯飞,38.02,38.59,37.6,37.8,37.99,0.03,0.079,1.7407,37516717,1432752804,83563128304,81941098153
2020/7/21,'002230,科大讯飞,37.99,38.5,37.6,37.9,37.77,0.22,0.5825,1.9363,41731334,1588806411,83497192117,81876441842
2020/7/20,'002230,科大讯飞,37.77,37.82,36.11,37.7,37.24,0.53,1.4232,2.691,57996154,2152779566,83013660075,81402295562
2020/7/17,'002230,科大讯飞,37.24,37.85,36.66,37.5,37.03,0.21,0.5671,2.145,43912347,1635828858,81848787429,76238114067
2020/7/16,'002230,科大讯飞,37.03,39.49,36.79,38.81,38.8,-1.77,-4.5619,3.3888,69374997,2654864649,81387234117,75808199890
2020/7/15,'002230,科大讯飞,38.8,40.45,38.65,40.1,39.9,-1.1,-2.7569,2.7832,56978258,2244128692,85277469180,79431762240
2020/7/14,'002230,科大讯飞,39.9,41.64,39.24,41.6,41.58,-1.68,-4.0404,4.2524,87055702,3506356180,87695129388,81683693643
2020/7/13,'002230,科大讯飞,41.58,41.77,40.88,41.01,41.13,0.45,1.0941,3.1931,65368984,2702791999,91387555889,85123007060
2020/7/10,'002230,科大讯飞,41.13,42.4,41.01,42.2,42.4,-1.27,-2.9953,3.3442,68462046,2846024798,90398513076,84201762395
2020/7/9,'002230,科大讯飞,42.4,42.96,40.71,40.93,40.93,1.47,3.5915,4.3951,89976791,3766140329,93189811681,86801719561
2020/7/8,'002230,科大讯飞,40.93,41.24,39.5,40.4,40.4,0.53,1.3119,3.4891,71429577,2886770166,89958938493,83792320321
2020/7/7,'002230,科大讯飞,40.4,42.59,40.14,40.15,39.4,1,2.5381,4.4341,90776191,3730191463,88794065847,82707298827
2020/7/6,'002230,科大讯飞,39.4,39.8,38.5,38.8,38.13,1.27,3.3307,3.4223,70061595,2744380761,86596192930,80660088460
2020/7/3,'002230,科大讯飞,38.13,38.25,37.6,38,38,0.13,0.3421,2.0206,41364939,1568303261,83804894325,78060131294
2020/7/2,'002230,科大讯飞,38,38.68,37.05,37.36,37.22,0.78,2.0956,2.8382,58103879,2208321322,83519170846,77793993946
2020/7/1,'002230,科大讯飞,37.22,37.7,36.68,37.63,37.43,-0.21,-0.561,2.1038,43069888,1600534134,81804829971,76197169860
2020/6/30,'002230,科大讯飞,37.43,37.74,36.8,37,36.19,1.24,3.4264,2.9074,59520665,2222199367,82266383283,76627084037
2020/6/29,'002230,科大讯飞,36.19,37.38,36.06,36.57,36.58,-0.39,-1.0662,2.0134,41219407,1511462225,79541020866,74088543182
2020/6/24,'002230,科大讯飞,36.58,37.65,35.9,35.92,35.32,1.26,3.5674,3.4368,70358311,2592928287,80398191304,74886955225
2020/6/23,'002230,科大讯飞,35.32,35.68,35.09,35.54,35.53,-0.21,-0.591,1.3966,28591195,1009378223,77628871428,72307470162
2020/6/22,'002230,科大讯飞,35.53,35.87,35.21,35.5,35.21,0.32,0.9088,1.8563,38002779,1349650756,78090424741,72737384340
2020/6/19,'002230,科大讯飞,35.21,35.53,35.01,35.14,34.98,0.23,0.6575,1.4882,30467000,1074496490,77387105408,72082277022
2020/6/18,'002230,科大讯飞,34.98,35.44,34.8,34.9,35,-0.02,-0.0571,1.4276,29224964,1024844841,76881594637,71611418638
2020/6/17,'002230,科大讯飞,35.1,35.62,34.63,35.15,35.07,0.03,0.0855,1.5887,32523663,1140940985,77145339387,71857083882
